Category,Date,Location
Park,March 1 1872,Wyoming
Park,September 25 1890,California
Park,"October 1, 1890",California
Forest,"March 30, 1891",Wyoming
Forest,"June 16, 1891",Colorado
Forest,"January 11, 1892",New Mexico
Forest,"February 11, 1892",Colorado
Forest,"June 17, 1892",Oregon
Forest,"February 14, 1893",California
Forest,"February 25, 1893",California
Forest,"February 25, 1893",California
Forest,"February 22, 1897",Wyoming
Forest,"February 22, 1897",Montana
Forest,"February 22, 1897",South Dakota
Forest,"February 22, 1897",Wyoming
Forest,"February 22, 1897",Montana
Forest,"February 22, 1897",Montana
Forest,"February 22, 1897",Washington
Forest,"February 22, 1897",Washington
Forest,"February 22, 1897",California
Forest,"February 22, 1897",Utah
Forest,"March 2, 1898",California
Forest,"May 10, 1898",Arizona
Forest,"August 17, 1898",Arizona
Forest,"August 17, 1898",Arizona
Forest,"February 10, 1899",Utah
Forest,"February 10, 1899",Montana
Park,"March 2, 1899",Washington
Forest,"March 2, 1899",New Mexico
Forest,"April 13, 1899",California
Forest,"April 11, 1902",Arizona
Forest,"April 11, 1902",Colorado
Forest,"April 16, 1902",Nebraska
Park,"May 22, 1902",Oregon
Forest,"May 22, 1902",Colorado
Forest,"July 26, 1902",New Mexico
Park,"January 9, 1903",South Dakota
Forest,"May 29, 1903",Utah
Forest,"October 24, 1903",Colorado
Forest,"November 29, 1904",California
Forest,"March 27, 1905",California
Forest,"April 26, 1905",California
Forest,"May 6, 1905",California
Forest,"May 6, 1905",Oregon
Forest,"May 12, 1905",Colorado
Forest,"May 23, 1905",Idaho
Forest,"May 29, 1905",Idaho
Forest,"June 2, 1905",California
Forest,"June 3, 1905",Idaho
Forest,"June 3, 1905",Colorado
Forest,"June 14, 1905",Colorado
Forest,"September 25, 1905",Utah
Forest,"October 3, 1905",Arizona
Forest,"April 12, 1906",Montana
Forest,"May 3, 1906",Nevada
Park,"June 29, 1906",Colorado
Forest,"August 13, 1906",Montana
Forest,"September 17, 1906",Oregon
Forest,"September 20, 1906",Montana
Forest,"November 6, 1906",New Mexico
Forest,"November 6, 1906",Idaho
Forest,"November 7, 1906",New Mexico
Forest,"February 6, 1907",North Carolina
Forest,"March 1, 1907",Washington
Forest,March 2 1907,Oregon
Forest,"May 25, 1907",California
Forest,"July 23, 1907",Alaska
Forest,"September 10, 1907",Alaska
Forest,"December 18, 1907",Arkansas
Forest,"March 5, 1908",Arkansas
Forest,"May 23, 1908",Minnesota
Forest,"July 1, 1908",Utah
Forest,"July 1, 1908",Montana
Forest,"July 1, 1908",Idaho
Forest,"July 1, 1908",Oregon
Forest,"July 1, 1908",Washington
Forest,"July 1, 1908",Colorado
Forest,"July 1, 1908",Arizona
Forest,"July 1, 1908",Oregon
Forest,"July 1, 1908",California
Forest,"July 1, 1908",Idaho
Forest,"July 1, 1908",Colorado
Forest,"July 1, 1908",Idaho
Forest,"July 1, 1908",California
Forest,"July 1, 1908",Oregon
Forest,"July 1, 1908",Oregon
Forest,"November 24, 1908",Florida
