Category,Date,Location
AFRICA,3/9/2006,"Mumbai, Maharashtra, India"
AFRICA,3/9/2006,Indonesia
AFRICA,3/9/2006,Nigeria
AUSTRALIA,3/9/2006,"Nullagine, Western Australia, Australia"
AUSTRALIA,3/9/2006,"Nullagine, Western Australia, Australia"
AUSTRALIA,3/9/2006,"Ballarat, Victoria, Australia"
AUSTRALIA,3/9/2006,"Melbourne, Victoria, Australia"
WATERLOO,3/9/2006,"Iowa, United States"
WATERLOO,3/9/2006,"Iowa, United States"
INDUSTRY,3/9/2006,"Nullagine, Western Australia, Australia"
CUBA,3/9/2006,"Havana, Ciudad de La Habana, Cuba"
CUBA,3/9/2006,"Havana, Ciudad de La Habana, Cuba"
CUBA,3/9/2006,"Havana, Ciudad de La Habana, Cuba"
PROFESSOR,3/9/2006,"New York, United States"
PROFESSOR,3/9/2006,"New York, United States"
ITALY,3/9/2006,"Rome, Lazio, Italy"
ITALY,3/9/2006,"Rome, Lazio, Italy"
MEXICO,3/9/2006,"Sinaloa, Tabasco, Mexico"
MEXICO,3/9/2006,"Sinaloa, Tabasco, Mexico"
INSURGENT,3/9/2006,Afghanistan
INSURGENT,3/9/2006,"Florida, United States"
INSURGENT,3/9/2006,Afghanistan
UNITED STATES,3/9/2006,"California, United States"
UNITED STATES,3/9/2006,"California, United States"
UNITED STATES,3/9/2006,"Oklahoma, United States"
UNITED STATES,3/9/2006,"Virginia, United States"
IOWA,3/9/2006,"Iowa, United States"
IOWA,3/9/2006,"Iowa, United States"
AMERICAN,3/9/2006,"Mcdowell County, West Virginia, United States"
IOWA,3/9/2006,"Iowa, United States"
IOWA,3/9/2006,"Iowa, United States"
VIETNAM,3/9/2006,"Beijing, Beijing, China"
VIETNAM,3/9/2006,"New Delhi, Delhi, India"
VIETNAM,3/9/2006,"Hanoi, Ha N?i, Vietnam, Republic Of"
VIETNAM,3/9/2006,"Hanoi, Ha N?i, Vietnam, Republic Of"
VIETNAM,3/9/2006,"Beijing, Beijing, China"
VIETNAM,3/9/2006,"New Delhi, Delhi, India"
VIETNAM,3/9/2006,"Hanoi, Ha N?i, Vietnam, Republic Of"
VIETNAM,3/9/2006,"Hanoi, Ha N?i, Vietnam, Republic Of"
AFGHANISTAN,3/7/2015,"Hazara, Balkh, Afghanistan"
AFGHANISTAN,3/7/2015,"Hazara, Balkh, Afghanistan"
AFGHANISTAN,3/7/2015,Afghanistan
AFGHAN,3/7/2015,"Kunduz, Kondoz, Afghanistan"
AFRICA,3/7/2015,"Pretoria, Gauteng, South Africa"
AFRICA,3/7/2015,"Pretoria, Gauteng, South Africa"
AFRICA,3/7/2015,"Hammanskraal, North-West, South Africa"
AFRICA,3/7/2015,"Hammanskraal, North-West, South Africa"
AFRICA,3/7/2015,"Nkandla, KwaZulu-Natal, South Africa"
AFRICA,3/7/2015,Argentina
FARMER,3/7/2015,"Mahatma, Rajasthan, India"
UNITED ARAB EMIRATES,3/7/2015,"Edinburgh, Edinburgh, City of, United Kingdom"
DUBAI,3/7/2015,Nigeria
DUBAI,3/7/2015,"Dubai, Dubayy, United Arab Emirates"
DUBAI,3/7/2015,"Dubai, Dubayy, United Arab Emirates"
DUBAI,3/7/2015,"Dubai, Dubayy, United Arab Emirates"
ABU DHABI,3/7/2015,"Washington, District of Columbia, United States"
AUSTRALIA,3/7/2015,"Canberra, Australian Capital Territory, Australia"
AUSTRALIAN,3/7/2015,"Sydney, New South Wales, Australia"
AUSTRALIAN,3/7/2015,"Sydney, New South Wales, Australia"
AUSTRALIAN,3/7/2015,"Sydney, New South Wales, Australia"
MELBOURNE,3/7/2015,"Melbourne, Victoria, Australia"
MELBOURNE,3/7/2015,"Petersburg, Sankt-Peterburg, Russia"
MELBOURNE,3/7/2015,"Melbourne, Victoria, Australia"
AUSTRALIA,3/7/2015,"Chatswood, New South Wales, Australia"
AUSTRALIA,3/7/2015,"Chatswood, New South Wales, Australia"
AUSTRALIA,3/7/2015,"Chatswood, New South Wales, Australia"
MELBOURNE,3/7/2015,"Florida, United States"
AUSTRALIA,3/7/2015,"Lewis Ponds, New South Wales, Australia"
AUSTRALIAN,3/7/2015,"Perth, Western Australia, Australia"
AUSTRALIA,3/7/2015,"Beijing, Beijing, China"
AUSTRALIA,3/7/2015,"Beijing, Beijing, China"
AUSTRALIA,3/7/2015,"Beijing, Beijing, China"
AUSTRALIA,3/7/2015,Australia
AUSTRALIA,3/7/2015,Australia
ADELAIDE,3/7/2015,"Adelaide, South Australia, Australia"
AUSTRALIAN,3/7/2015,Australia
AUSTRALIA,3/7/2015,"Kurrawa, Queensland, Australia"
AUSTRALIA,3/7/2015,Ghana
AUSTRALIA,3/7/2015,"Brisbane, Queensland, Australia"
AUSTRALIA,3/7/2015,Australia
AUSTRALIA,3/7/2015,Australia
VICTORIA,3/7/2015,"Monash, South Australia, Australia"
AUSTRALIAN,3/7/2015,"Perth, Western Australia, Australia"
AUSTRALIA,3/7/2015,"Perth, Western Australia, Australia"
AUSTRIA,3/7/2015,"Vienna, Wien, Austria"
AUSTRIAN,3/7/2015,"Berlin, Berlin, Germany"
AUSTRIAN,3/7/2015,Austria
AUSTRIA,3/7/2015,Austria
AUSTRIAN,3/7/2015,"Berlin, Berlin, Germany"
AUSTRIAN,3/7/2015,Austria
AUSTRIA,3/7/2015,Turkey
BAMBARA,3/7/2015,"Bamako, Bamako, Mali"
BELGIAN,3/7/2015,Belgium
BELGIAN,3/7/2015,Belgium
DHAKA,3/7/2015,"Dhaka, Dhaka, Bangladesh"
DHAKA,3/7/2015,"Dhaka, Dhaka, Bangladesh"
BULGARIAN,3/7/2015,Bulgaria
